fault,project,PO Term,Group
50-60HZ ATS Contactor,Opex,DG Repairs/ATS Repair - Contactor,spares - contactor
AC Breaker - 100A,Opex,DG repairs,nil
AC Breaker - 10A,Opex,DG repairs,nil
AC Breaker - 125A,Opex,DG repairs,nil
AC Breaker - 20A,Opex,DG repairs,nil
AC Breaker - 250A,Opex,DG repairs,nil
AC Breaker - 32A (1 Pole),Opex,DG repairs,site cleanup/hvac
AC Breaker - 32A (4 Pole),Opex,DG repairs,site cleanup/hvac
AC Breaker - 50A,Opex,DG repairs,nil
AC Breaker - 63A (1 Pole),Opex,DG repairs,nil
AC Breaker - 63A (4 Pole),Opex,DG repairs,nil
AC Fan,Opex,HVAC Repairs,site cleanup/hvac
AC Installation kit,Opex,HVAC Repairs,site cleanup/hvac
AC Pipe Welding,Opex,HVAC Repairs,site cleanup/hvac
ACAC Evaporator - 2 HP,Opex,HVAC Repairs,nil
Air Filter,Opex,DG repairs,nil
Aircondition - Basic,Opex,HVAC Repairs,nil
Aircondition - Major,Opex,HVAC Repairs,nil
Aircondition Panel,Opex,HVAC Repairs,site cleanup/hvac
Alternator Recoiling - 20 kva,Opex,DG repairs,others
Alternator Recoiling - 27 kva,Opex,DG repairs,nil
Angular Bar,Opex,Civil Works,nil
Angular Tile,Opex,Civil Works,nil
Armoured Cable - 1 Core (35mm),Maint Capex,Cable Replacement,nil
Armoured Cable - 4 Core (10mm),Maint Capex,Cable Replacement,spares - cables
Armoured Cable - 4 Core (16mm),Maint Capex,Cable Replacement,spares - cables
Armoured Cable - 4 Core (25mm),Maint Capex,Cable Replacement,spares - cables
Armoured Cable - 4 Core (35mm),Maint Capex,Cable Replacement,spares - cables
Armoured Cable - 4 Core (4mm),Maint Capex,Cable Replacement,nil
Armoured Cable - 4 Core (50mm),Maint Capex,Cable Replacement,spares - cables
ATS - EXB Board,Opex,DG Repairs/ATS Repair - Contactor,nil
ATS - Module Deep Sea (7320),Opex,DG Repairs/ATS Repair - Contactor,nil
ATS - Timer,Opex,DG Repairs/ATS Repair - Contactor,nil
ATS Movement - Within Region,Opex,Asset Movement,asset movement
ATS Movement - Within State,Opex,Asset Movement,asset movement
AVR - 10 kva,Opex,DG repairs,nil
AVR - 100 kva,Opex,DG repairs,nil
AVR - 15 kva,Opex,DG repairs,spares - avr
AVR - 20 kva,Opex,DG repairs,spares - avr
AVR - 30 kva,Opex,DG repairs,spares - avr
AVR - 40 kva,Opex,DG repairs,nil
AVR - 60 kva,Opex,DG repairs,nil
AWL - Bulb,Maint Capex,Aviation Warning Light,nil
AWL - Complete set,Maint Capex,Aviation Warning Light,site cleanup/security and aviation warning lights
AWL - Installation,Maint Capex,Aviation Warning Light,nil
Back oil seal - 20 kva,Opex,DG repairs,spares - oil seals
Back-Up Battery - Basic,Maint Capex,Fortification,nil
Back-Up Battery - Major,Maint Capex,Fortification,nil
Ballshooter,Opex,DG repairs,nil
Battery Cage,Other Capex,Fortification,nil
Block - 6 Inches,Opex,Civil Works,nil
Block - 9 Inches,Opex,Civil Works,nil
Bottom Gasket Kit - 20 kva,Opex,DG repairs,nil
BUB Installation - 12V/150AH,Maint Capex,Installation,nil
Cabinet Lock,Opex,Civil Works,nil
Cable - 2 Core (2.5mm) - Roll,Maint Capex,Cable Replacement,nil
Cable - 3 Core (1.5mm) - Roll,Maint Capex,Cable Replacement,nil
Cable - 3 Core (2.5mm) - Roll,Maint Capex,Cable Replacement,site cleanup/hvac
Cable Light - AWL Cable (2.5mm x 3Core),Maint Capex,Aviation Warning Light,nil
Cable Light - Security Light Cable (2.5mm x 3Core),Maint Capex,Cable Replacement,nil
Cable lock,Maint Capex,Cable Replacement,nil
Cable Lugs,Maint Capex,Cable Replacement,spares - cables
Cable Trunking - 70mm,Maint Capex,Cable Replacement,nil
Injector Cam Ring,Opex,DG repairs,spares - injector
Capacitor,Opex,HVAC Repairs,site cleanup/hvac
Cement,Opex,Civil Works,others
Changeover Switch - 100a,Maint Capex,,nil
Charcoal,Maint Capex,,nil
Charging Alternator - 10 kva,Opex,DG repairs,nil
Charging Alternator - 100 kva,Opex,DG repairs,nil
Charging Alternator - 15 kva,Opex,DG repairs,spares - charging alternator
Charging Alternator - 20 kva,Opex,DG repairs,spares - charging alternator
Charging Alternator - 30 kva,Opex,DG repairs,spares - charging alternator
Charging Alternator - 40 kva,Opex,DG repairs,nil
Charging Alternator - 60 kva,Opex,DG repairs,nil
Charging Valve,Opex,HVAC Repairs,site cleanup/hvac
Complete Overhauling - 10 kva,Maint Capex,DG Overhaul (Complete),nil
Complete Overhauling - 100 kva,Maint Capex,DG Overhaul (Complete),nil
Complete Overhauling - 15 kva,Maint Capex,DG Overhaul (Complete),overhauling
Complete Overhauling - 20 kva,Maint Capex,DG Overhaul (Complete),overhauling
Complete Overhauling - 30 kva,Maint Capex,DG Overhaul (Complete),overhauling
Complete Overhauling - 40 kva,Maint Capex,DG Overhaul (Complete),overhauling
Complete Overhauling - 60 kva,Maint Capex,DG Overhaul (Complete),nil
Compress Sawdust,Opex,HVAC Repairs,site cleanup/hvac
Compressor - 1.5 HP,Opex,HVAC Repairs,site cleanup/hvac
Compressor - 2.5 HP,Opex,HVAC Repairs,site cleanup/hvac
Compressor Cup,Opex,HVAC Repairs,site cleanup/hvac
Concrete Pole,Maint Capex,,nil
Condenser,Opex,HVAC Repairs,nil
Connecting Rod,Maint Capex,,nil
Connecting Rod Bearing - 20 kva,Opex,DG repairs,nil
Connecting Rod Bearing - 27 kva,Opex,DG repairs,nil
Construction of Galvanized Pipes,Opex,Civil Works,nil
Contactor - 100A,Opex,DG Repairs/ATS Repair - Contactor,spares - contactor
Contactor - 120/125A,Opex,DG Repairs/ATS Repair - Contactor,spares - contactor
Contactor - 45/60A,Opex,DG Repairs/ATS Repair - Contactor,nil
Contactor - 53/80A,Opex,DG Repairs/ATS Repair - Contactor,nil
Control Box,Opex,HVAC Repairs,site cleanup/hvac
Control Valve,Opex,HVAC Repairs,site cleanup/hvac
Controller - AMF25/10,Opex,DG repairs,nil
Controller - CAT,Opex,DG repairs,spares - modules
Controller - Deep Sea,Opex,DG repairs,spares - modules
Controller - Deep Sea 6111,Opex,DG repairs,spares - modules
Controller - Deep Sea 6110,Opex,DG repairs,spares - modules
Controller - DSE,Opex,DG repairs,spares - modules
